nr S.	scalenie	znaczenie 1	znaczenie 2	znaczenie 3	POCHODZENIE	CZĘSTOŚĆ WYSTĄPIEŃ	WYSTĄPIENIA
G4623	G4623 σιωπάω [siōpaō]; czasownik						
G4624	G4624 σκανδαλίζω [skandalidzō]; czasownik						
G4625	G4625 σκάνδαλον [skandalon]; rzeczownik						
G4626	G4626 σκάπτω [skaptō]; czasownik						
G4627	G4627 σκάφη [skafē]; rzeczownik						
G4628	G4628 σκέλος [skelos]; rzeczownik						
G4629	G4629 σκέπασμα [skepasma]; rzeczownik						
G4630	G4630 Σκευᾶς [Skeuas]; rzeczownik						
G4631	G4631 σκευή [skeuē]; rzeczownik						
G4632	G4632 σκεῦος [skeuos]; rzeczownik						
G4633	G4633 σκηνή [skēnē]; rzeczownik						
G4634	G4634 σκηνοπηγία [skēnopēgia]; rzeczownik						
G4635	G4635 σκηνοποιός [skēnopoios]; rzeczownik						
G4636	G4636 σκήνος [skēnos]; rzeczownik						
G4637	G4637 σκηνόω [skēnoō]; czasownik						
G4638	G4638 σκήνωμα [skēnōma]; rzeczownik						
G4639	G4639 σκία [skia]; rzeczownik						
G4640	G4640 σκιρτάω [skirtaō]; czasownik						
G4641	G4641 σκληροκαρδία [sklērokardia]; rzeczownik						
G4642	G4642 σκληρός [sklēros]; przymiotnik						
G4643	G4643 σκληρότης [sklērotēs]; rzeczownik						
G4644	G4644 σκληροτράχηλος [sklērotrachēlos]; przymiotnik						
G4645	G4645 σκληρύνω [sklērynō]; czasownik						
G4646	G4646 σκολιός [skolios]; przymiotnik						
G4647	G4647 σκόλοψ [skolops]; rzeczownik						
G4648	G4648 σκοπέω [skopeō]; czasownik						
G4649	G4649 σκοπός [skopos]; rzeczownik						
G4650	G4650 σκορπίζω [skorpidzō]; czasownik						
G4651	G4651 σκορπίος [skorpios]; rzeczownik						
G4652	G4652 σκοτεινός [skoteinos]; przymiotnik						
G4653	G4653 σκοτία [skotia]; rzeczownik						
G4654	G4654 σκοτίζω [skotidzō]; czasownik						
G4655	G4655 σκότος [skotos]; rzeczownik						
G4656	G4656 σκοτόω [skotoō]; czasownik						
G4657	G4657 σκύβαλον [skybalon]; rzeczownik						
G4658	G4658 Σκύθης [Skythēs]; rzeczownik						
G4659	G4659 σκυθρωπός [skythrōpos]; przymiotnik						
G4660	G4660 σκύλλω [skyllō]; czasownik						
G4661	G4661 σκῦλον [skylon]; rzeczownik						
G4662	G4662 σκωληκόβρωτος [skōlēkobrōtos]; przymiotnik						
G4663	G4663 σκώληξ [skōlēx]; rzeczownik						
G4664	G4664 σμαράγδινος [smaragdinos]; przymiotnik						
G4665	G4665 σμάραγδος [smaragdos]; rzeczownik						
G4666	G4666 σμύρνα [smyrna]; rzeczownik						
G4667	G4667 Σμύρνα [Smyrna]; rzeczownik						
G4668	G4668 Σμυρναίος [Smyrnaios]; rzeczownik						
G4669	G4669 σμυρνίζω [smyrnidzō]; czasownik						
G4670	G4670 Σόδομα [Sodoma]; rzeczownik						
G4671	G4671 σοί [soi]; zaimek						
G4672	G4672 Σολομών [Solomōn]; rzeczownik						
G4673	G4673 σορός [soros]; rzeczownik						
G4674	G4674 σός [sos]; zaimek						
G4675	G4675 σοῦ [su]; zaimek						
G4676	G4676 σουδάριον [sudarion]; rzeczownik						
G4677	G4677 Σουσάννα [Susanna]; rzeczownik						
G4678	G4678 σοφία [sofia]; rzeczownik						
G4679	G4679 σοφίζω [sofidzō]; czasownik						
G4680	G4680 σοφός [sofos]; przymiotnik						
G4681	G4681 Σπανία [Spania]; rzeczownik						
G4682	G4682 σπαράσσω [sparassō]; czasownik						
G4683	G4683 σπαργανόω [sparganoō]; czasownik						
G4684	G4684 σπαταλάω [spatalaō]; czasownik						
G4685	G4685 σπάω [spaō]; czasownik						
G4686	G4686 σπεῖρα [speira]; rzeczownik						
G4687	G4687 σπείρω [speirō]; czasownik						
G4688	G4688 σπεκουλάτωρ [spekulatōr]; rzeczownik						
G4689	G4689 σπένδω [spendō]; czasownik						
G4690	G4690 σπέρμα [sperma]; rzeczownik						
G4691	G4691 σπερμολόγος [spermologos]; przymiotnik						
G4692	G4692 σπεύδω [speudō]; czasownik						
G4693	G4693 σπήλαιον [spēlaion]; rzeczownik						
G4694	G4694 σπιλάς [spilas]; rzeczownik						
G4695	G4695 σπιλόω [spiloō]; czasownik						
G4696	G4696 σπίλος [spilos]; rzeczownik						
G4697	G4697 σπλαγχνίζομαι [splagchnidzomai]; czasownik						
G4698	G4698 σπλάγχνον [splagchnon]; rzeczownik						
G4699	G4699 σπόγγος [spongos]; rzeczownik						
G4700	G4700 σποδός [spodos]; rzeczownik						
G4701	G4701 σπορά [spora]; rzeczownik						
G4702	G4702 σπόριμος [sporimos]; przymiotnik						
G4703	G4703 σπόρος [sporos]; rzeczownik						
G4704	G4704 σπουδάζω [spudadzō]; czasownik						
G4705	G4705 σπουδαῖος [spudaios]; przymiotnik						
G4706	G4706 σπουδαιότερον [spudaiōs]; przymiotnik						
G4707	G4707 σπουδαιότερος [spudaioteros]; przymiotnik						
G4708	G4708 σπουδαιοτέρως [spudaioterōs]; przysłówek						
G4709	G4709 σπουδαίως [spudaiōs]; przysłówek						
G4710	G4710 σπουδή [spudē]; rzeczownik						
G4711	G4711 σπυρίς [spyris]; rzeczownik						
G4712	G4712 στάδιον [stadion]; rzeczownik						
G4713	G4713 στάμνος [stamnos]; przymiotnik						
G4714	G4714 στάσις [stasis]; rzeczownik						
G4715	G4715 στατήρ [statēr]; rzeczownik						
G4716	G4716 σταυρός [stauros]; rzeczownik						
G4717	G4717 σταυρόω [stauroō]; czasownik						
G4718	G4718 σταφυλή [stafylē]; rzeczownik						
G4719	G4719 στάχυς [stachys]; rzeczownik						
G4720	G4720 Στάχυς [Stachys]; rzeczownik						
G4721	G4721 στέγη [stegē]; rzeczownik						
G4722	G4722 στέγω [stegō]; czasownik						
G4723	G4723 στείρος [steira]; rzeczownik						
G4724	G4724 στέλλω [stellō]; czasownik						
G4725	G4725 στέμμα [stemma]; rzeczownik						
G4726	G4726 στεναγμός [stenagmos]; rzeczownik						
G4727	G4727 στενάζω [stenadzō]; czasownik						
G4728	G4728 στενός [stenos]; przymiotnik						
G4729	G4729 στενοχωρέω [stenochōreō]; czasownik						
G4730	G4730 στενοχωρία [stenochōria]; rzeczownik						
G4731	G4731 στερεός [stereos]; przymiotnik						
G4732	G4732 στερεόω [stereoō]; czasownik						
G4733	G4733 στερέωμα [stereōma]; rzeczownik						
G4734	G4734 Στεφανᾶς [Stefanas]; rzeczownik						
G4735	G4735 στέφανος [stefanos]; rzeczownik						
G4736	G4736 Στέφανος [Stefanos]; rzeczownik						
G4737	G4737 στεφανόω [stefanoō]; czasownik						
G4738	G4738 στῆθος [stēthos]; rzeczownik						
G4739	G4739 στήκω [stēkō]; czasownik						
G4740	G4740 στηριγμός [stērigmos]; rzeczownik						
G4741	G4741 στηρίζω [stēridzō]; czasownik						
G4742	G4742 στίγμα [stigma]; rzeczownik						
G4743	G4743 στιγμή [stigmē]; rzeczownik						
G4744	G4744 στίλβω [stilbō]; czasownik						
G4745	G4745 στοά [stoa]; rzeczownik						
G4746	G4746 στοιβάς [stibas]; rzeczownik						
G4747	G4747 στοιχεῖον [stoicheion]; rzeczownik						
G4748	G4748 στοιχέω [stoicheō]; czasownik						
G4749	G4749 στολή [stolē]; rzeczownik						
G4750	G4750 στόμα [stoma]; rzeczownik						
G4751	G4751 στόμαχος [stomachos]; rzeczownik						
G4752	G4752 στρατεία [strateia]; rzeczownik						
G4753	G4753 στράτευμα [strateuma]; rzeczownik						
G4754	G4754 στρατεύομαι [strateuō]; czasownik						
G4755	G4755 στρατηγός [stratēgos]; rzeczownik						
G4756	G4756 στρατία [stratia]; rzeczownik						
G4757	G4757 στρατιώτης [stratiōtēs]; rzeczownik						
G4758	G4758 στρατολογέω [stratologeō]; czasownik						
G4759	G4759 στρατοπεδάρχης [stratopedarchēs]; rzeczownik						
G4760	G4760 στρατόπεδον [stratopedon]; rzeczownik						
G4761	G4761 στρεβλόω [strebloō]; czasownik						
G4762	G4762 στρέφω [strefō]; czasownik						
G4763	G4763 στρηνιάω [strēniaō]; czasownik						
G4764	G4764 στρήνος [strēnos]; rzeczownik						
G4765	G4765 στρουθίον [struthion]; rzeczownik						
G4766	G4766 στρώννυμι [strōnnyō]; czasownik						
G4767	G4767 στυγνητός [stygētos]; przymiotnik						
G4768	G4768 στυγνάζω [stygnadzō]; czasownik						
G4769	G4769 στύλος [stylos]; rzeczownik						
G4770	G4770 Στωϊκός [Stoïkos]; przymiotnik						
G4771	G4771 σύ [sy]; zaimek						
G4772	G4772 συγγένεια [syngeneia]; rzeczownik						
G4773	G4773 συγγενής [syngenēs]; przymiotnik						
G4774	G4774 συγγνώμη [syngnōmē]; rzeczownik						
G4775	G4775 συγκάθημαι [synkathēmai]; czasownik						
G4776	G4776 συγκαθίζω [synkathidzō]; czasownik						
G4777	G4777 συγκακοπαθέω [synkakopatheō]; czasownik						
G4778	G4778 συγκακουχέω [synkakucheomai]; czasownik						
G4779	G4779 συγκαλέω [synkaleō]; czasownik						
G4780	G4780 συγκαλύπτω [synkalyptō]; czasownik						
G4781	G4781 συγκάμπτω [synkamptō]; czasownik						
G4782	G4782 συγκαταβαίνω [synkatabainō]; czasownik						
G4783	G4783 συγκατάθεσις [synkatathesis]; rzeczownik						
G4784	G4784 συγκατατίθεμαι [synkatatithēmi]; czasownik						
G4785	G4785 συγκαταψηφίζω [synkatapsēfidzomai]; czasownik						
G4786	G4786 συγκεράννυμι [synkerannymi]; czasownik						
G4787	G4787 συγκινέω [synkineō]; czasownik						
G4788	G4788 συγκλείω [synkleiō]; czasownik						
G4789	G4789 συγκληρονόμος [synklēronomos]; przymiotnik						
G4790	G4790 συγκοινωνέω [synkoinōneō]; czasownik						
G4791	G4791 συγκοινωνός [synkoinōnos]; przymiotnik						
G4792	G4792 συγκομίζω [synkomidzō]; czasownik						
G4793	G4793 συγκρίνω [synkrinō]; czasownik						
G4794	G4794 συγκύπτω [synkyptō]; czasownik						
G4795	G4795 συγκυρία [synkyria]; rzeczownik						
G4796	G4796 συγχαίρω [sygchairō]; czasownik						
G4797	G4797 συγχέω [sygcheō]; czasownik						
G4798	G4798 συγχράομαι [sygchraomai]; czasownik						
G4799	G4799 σύγχυσις [sygchysis]; rzeczownik						
G4800	G4800 συζάω [sydzaō]; czasownik						
G4801	G4801 συζεύγνυμι [sydzeugnymi]; czasownik						
G4802	G4802 συζητέω [sydzēteō]; czasownik						
G4803	G4803 συζήτησις [sydzētēsis]; rzeczownik						
G4804	G4804 συζητητής [sydzētētēs]; rzeczownik						
G4805	G4805 σύζυγος [sydzygos]; przymiotnik						
G4806	G4806 συζωοποιέω [sydzōopoieō]; czasownik						
G4807	G4807 συκάμινος [sykaminos]; przymiotnik						
G4808	G4808 συκῆ [sykē]; rzeczownik						
G4809	G4809 συκομωραία [sykomorea]; rzeczownik						
G4810	G4810 σῦκον [sykon]; rzeczownik						
G4811	G4811 συκοφαντέω [sykofanteō]; czasownik						
G4812	G4812 συλαγωγέω [sylagōgeō]; czasownik						
G4813	G4813 συλάω [sylaō]; czasownik						
G4814	G4814 συλλαλέω [syllaleō]; czasownik						
G4815	G4815 συλλαμβάνω [syllambanō]; czasownik						
G4816	G4816 συλλέγω [syllegō]; czasownik						
G4817	G4817 συλλογίζομαι [syllogidzomai]; czasownik						
G4818	G4818 συλλυπέω [syllypeō]; czasownik						
G4819	G4819 συμβαίνω [symbainō]; czasownik						
G4820	G4820 συμβάλλω [symballō]; czasownik						
G4821	G4821 συμβασιλεύω [symbasileuō]; czasownik						
G4822	G4822 συμβιβάζω [symbibadzō]; czasownik						
G4823	G4823 συμβουλεύω [symbuleuō]; czasownik						
G4824	G4824 συμβούλιον [symbulion]; rzeczownik						
G4825	G4825 σύμβουλος [symbulos]; rzeczownik						
G4826	G4826 Συμεών [Symeōn]; rzeczownik						
G4827	G4827 συμμαθητής [symmathētēs]; rzeczownik						
G4828	G4828 συμμαρτυρέω [symmartyreō]; czasownik						
G4829	G4829 συμμερίζομαι [symmeridzō]; czasownik						
G4830	G4830 συμμέτοχος [symmetochos]; przymiotnik						
G4831	G4831 συμμιμητής [symmimētēs]; rzeczownik						
G4832	G4832 συμμορφός [symmorfos]; przymiotnik						
G4833	G4833 συμμορφόω [symmorfidzō]; czasownik						
G4834	G4834 συμπαθέω [sympatheō]; czasownik						
G4835	G4835 συμπαθής [sympathēs]; przymiotnik						
G4836	G4836 συμπαραγίνομαι [symparaginomai]; czasownik						
G4837	G4837 συμπαρακαλέω [symparakaleō]; czasownik						
G4838	G4838 συμπαραλαμβάνω [symparalambanō]; czasownik						
G4839	G4839 συμπαραμένω [symparamenō]; czasownik						
G4840	G4840 συμπάρειμι [sympareimi]; czasownik						
G4841	G4841 συμπάσχω [sympaschō]; czasownik						
G4842	G4842 συμπέμπω [sympempō]; czasownik						
G4843	G4843 συμπεριλαμβάνω [symperilambanō]; czasownik						
G4844	G4844 συμπίνω [sympinō]; czasownik						
G4845	G4845 συμπληρόω [symplēroō]; czasownik						
G4846	G4846 συμπνίγω [sympnigō]; czasownik						
G4847	G4847 συμπολίτης [sympolitēs]; rzeczownik						
G4848	G4848 συμπορεύομαι [symporeuomai]; czasownik						
G4849	G4849 συμπόσιον [symposion]; rzeczownik						
G4850	G4850 συμπρεσβύτερος [sympresbyteros]; rzeczownik						
G4851	G4851 συμφέρω [symferō]; czasownik						
G4852	G4852 σύμφημι [symfēmi]; czasownik						
G4853	G4853 συμφυλέτης [symfyletēs]; rzeczownik						
G4854	G4854 σύμφυτος [symfytos]; przymiotnik						
G4855	G4855 συμφύω [symfyō]; czasownik						
G4856	G4856 συμφωνέω [symfōneō]; czasownik						
G4857	G4857 συμφώνησις [symfōnēsis]; rzeczownik						
G4858	G4858 συμφωνία [symfōnia]; rzeczownik						
G4859	G4859 σύμφωνος [symfōnos]; przymiotnik						
G4860	G4860 συμψηφίζω [sympsēfidzō]; czasownik						
G4861	G4861 σύμψυχος [sympsychos]; przymiotnik						
G4862	G4862 σύν [syn]; przyimek						
G4863	G4863 συνάγω [synagō]; czasownik						
G4864	G4864 συναγωγή [synagōgē]; rzeczownik						
G4865	G4865 συναγωνίζομαι [synagōnidzomai]; czasownik						
G4866	G4866 συναθλέω [synathleō]; czasownik						
G4867	G4867 συναθροίζω [synathroidzō]; czasownik						
G4868	G4868 συναίρω [synairō]; czasownik						
G4869	G4869 συναιχμάλωτος [synaichmalōtos]; przymiotnik						
G4870	G4870 συνακολουθέω [synakolutheō]; czasownik						
G4871	G4871 συναλίζω [synalidzō]; czasownik						
G4872	G4872 συναναβαίνω [synanabainō]; czasownik						
G4873	G4873 συνανάκειμαι [synanakeimai]; czasownik						
G4874	G4874 συναναμίγνυμι [synanamignymi]; czasownik						
G4875	G4875 συναναπαύομαι [synanapauomai]; czasownik						
G4876	G4876 συναντάω [synantaō]; czasownik						
G4877	G4877 συνάντησις [synantēsis]; rzeczownik						
G4878	G4878 συναντιλαμβάνομαι [synantilambanomai]; czasownik						
G4879	G4879 συναπάγω [synapagō]; czasownik						
G4880	G4880 συναποθνήσκω [synapothnēskō]; czasownik						
G4881	G4881 συναπόλλυμι [synapollymi]; czasownik						
G4882	G4882 συναποστέλλω [synapostellō]; czasownik						
G4883	G4883 συναρμολογέω [synarmologeō]; czasownik						
G4884	G4884 συναρπάζω [synarpadzō]; czasownik						
G4885	G4885 συναυξάνω [synauxanō]; czasownik						
G4886	G4886 σύνδεσμος [syndesmos]; rzeczownik						
G4887	G4887 συνδέω [syndeō]; czasownik						
G4888	G4888 συνδοξάζω [syndoxadzō]; czasownik						
G4889	G4889 σύνδουλος [syndulos]; rzeczownik						
G4890	G4890 συνδρομή [syndromē]; rzeczownik						
G4891	G4891 συνεγείρω [synegeirō]; czasownik						
G4892	G4892 συνέδριον [synedrion]; rzeczownik						
G4893	G4893 συνείδησις [syneidēsis]; rzeczownik						
G4894	G4894 συνείδω [synoraō]; czasownik						
G4895	G4895 σύνειμι [syneimi]; czasownik						
G4896	G4896 σύνειμι [syneimi]; czasownik						
G4897	G4897 συνεισέρχομαι [syneiserchomai]; czasownik						
G4898	G4898 συνέκδημος [synekdēmos]; rzeczownik						
G4899	G4899 συνεκλεκτός [syneklektos]; przymiotnik						
G4900	G4900 συνελαύνω [synallassō]; czasownik						
G4901	G4901 συνεπιμαρτυρέω [synepimartyreō]; czasownik						
G4902	G4902 συνέπομαι [synepomai]; czasownik						
G4903	G4903 συνεργέω [synergeō]; czasownik						
G4904	G4904 συνεργός [synergos]; przymiotnik						
G4905	G4905 συνέρχομαι [synerchomai]; czasownik						
G4906	G4906 συνεσθίω [synesthiō]; czasownik						
G4907	G4907 σύνεσις [synesis]; rzeczownik						
G4908	G4908 συνετός [synetos]; przymiotnik						
G4909	G4909 συνευδοκέω [syneudokeō]; czasownik						
G4910	G4910 συνευωχέω [syneuōcheomai]; czasownik						
G4911	G4911 συνεφίστημι [synefistēmi]; czasownik						
G4912	G4912 συνέχω [synechō]; czasownik						
G4913	G4913 συνήδομαι [synēdomai]; czasownik						
G4914	G4914 συνήθεια [synētheia]; rzeczownik						
G4915	G4915 συνηλικιώτης [synēlikiōtēs]; rzeczownik						
G4916	G4916 συνθάπτω [synthaptō]; czasownik						
G4917	G4917 συνθλάω [synthlaō]; czasownik						
G4918	G4918 συνθλίβω [synthlibō]; czasownik						
G4919	G4919 συνθρύπτω [synthryptō]; czasownik						
G4920	G4920 συνίημι [syniēmi]; czasownik						
G4921	G4921 συνιστάω [synistēmi]; czasownik						
G4922	G4922 συνοδεύω [synodeuō]; czasownik						
G4923	G4923 συνοδία [synodia]; rzeczownik						
G4924	G4924 συνοικέω [synoikeō]; czasownik						
G4925	G4925 συνοικοδομέω [synoikodomeō]; czasownik						
G4926	G4926 συνομιλέω [synomileō]; czasownik						
G4927	G4927 συνομορέω [synomoreō]; czasownik						
G4928	G4928 συνοχή [synochē]; rzeczownik						
G4929	G4929 συντάσσω [syntassō]; czasownik						
G4930	G4930 συντέλεια [synteleia]; rzeczownik						
G4931	G4931 συντελέω [synteleō]; czasownik						
G4932	G4932 συντέμνω [syntemnō]; czasownik						
G4933	G4933 συντηρέω [syntēreō]; czasownik						
G4934	G4934 συντίθεμαι [syntithēmi]; czasownik						
G4935	G4935 συντόμως [syntomōs]; przysłówek						
G4936	G4936 συντρέχω [syntrechō]; czasownik						
G4937	G4937 συντρίβω [syntribō]; czasownik						
G4938	G4938 σύντριμμα [syntrimma]; rzeczownik						
G4939	G4939 σύντροφος [syntrofos]; przymiotnik						
G4940	G4940 συντυγχάνω [syntygchanō]; czasownik						
G4941	G4941 Συντύχη [Syntychē]; rzeczownik						
G4942	G4942 συνυποκρίνομαι [synypokrinomai]; czasownik						
G4943	G4943 συνυπουργέω [synypurgeō]; czasownik						
G4944	G4944 συνωδίνω [synōdinō]; czasownik						
G4945	G4945 συνωμοσία [synōmosia]; rzeczownik						
G4946	G4946 Συράκουσαι [Syrakusai]; rzeczownik						
G4947	G4947 Συρία [Syria]; rzeczownik						
G4948	G4948 Σύρος [Syros]; rzeczownik						
G4949	G4949 Συροφοίνισσα [Syrofoinikissa]; rzeczownik						
G4950	G4950 σύρτις [Syrtis]; rzeczownik						
G4951	G4951 σύρω [syrō]; czasownik						
G4952	G4952 συσπαράσσω [sysparassō]; czasownik						
G4953	G4953 σύσσημον [syssēmon]; rzeczownik						
G4954	G4954 σύσσωμος [syssōmos]; przymiotnik						
G4955	G4955 συστασιαστής [stasiastēs]; rzeczownik						
G4956	G4956 συστατικός [systatikos]; przymiotnik						
G4957	G4957 συσταυρόω [systauroō]; czasownik						
G4958	G4958 συστέλλω [systellō]; czasownik						
G4959	G4959 συστενάζω [systenadzō]; czasownik						
G4960	G4960 συστοιχέω [systoicheō]; czasownik						
G4961	G4961 συστρατιώτης [systratiōtēs]; rzeczownik						
G4962	G4962 συστρέφω [systrefō]; czasownik						
G4963	G4963 συστροφή [systrofē]; rzeczownik						
G4964	G4964 συσχηματίζω [syschēmatidzō]; czasownik						
G4965	G4965 Συχάρ [Sychar]; rzeczownik						
G4966	G4966 Συχέμ [Sychem]; rzeczownik						
G4967	G4967 σφαγή [sfagē]; rzeczownik						
G4968	G4968 σφάγιον [sfagion]; rzeczownik						
G4969	G4969 σφάζω [sfadzō]; czasownik						
G4970	G4970 σφόδρα [sfodra]; przysłówek						
G4971	G4971 σφοδρῶς [sfodrōs]; przysłówek						
G4972	G4972 σφραγίζω [sfragidzō]; czasownik						
G4973	G4973 σφραγίς [sfragis]; rzeczownik						
G4974	G4974 σφυρόν [sfydron]; rzeczownik						
G4975	G4975 σχεδόν [schedon]; przysłówek						
G4976	G4976 σχῆμα [schēma]; rzeczownik						
G4977	G4977 σχίζω [schidzō]; czasownik						
G4978	G4978 σχίσμα [schisma]; rzeczownik						
G4979	G4979 σχοινίον [schoinion]; rzeczownik						
G4980	G4980 σχολάζω [scholadzō]; czasownik						
G4981	G4981 σχολή [scholē]; rzeczownik						
G4982	G4982 σώζω [sōdzō]; czasownik						
G4983	G4983 σῶμα [sōma]; rzeczownik						
G4984	G4984 σωματικός [sōmatikos]; przymiotnik						
G4985	G4985 σωματικῶς [sōmatikōs]; przysłówek						
G4986	G4986 Σώπατρος [Sōpatros]; rzeczownik						
G4987	G4987 σωρεύω [sōreuō]; czasownik						
G4988	G4988 Σωσθένης [Sōsthenēs]; rzeczownik						
G4989	G4989 Σωσίπατρος [Sōsipatros]; rzeczownik						
G4990	G4990 σωτήρ [sōtēr]; rzeczownik						
G4991	G4991 σωτηρία [sōtēria]; rzeczownik						
G4992	G4992 σωτήριον [sōtērios]; przymiotnik						
G4993	G4993 σωφρονέω [sōfroneō]; czasownik						
G4994	G4994 σωφρονίζω [sōfronidzō]; czasownik						
G4995	G4995 σωφρονισμός [sōfronismos]; rzeczownik						
G4996	G4996 σωφρόνως [sōfronōs]; przysłówek						
G4997	G4997 σωφροσύνη [sōfrosynē]; rzeczownik						
G4998	G4998 σώφρων [sōfrōn]; przymiotnik						
G4999	G4999 Ταβέρναι [tabernai]; rzeczownik						
G5000	G5000 Ταβιθά [Tabitha]; rzeczownik						
G5001	G5001 τάγμα [tagma]; rzeczownik						
G5002	G5002 τακτός [taktos]; przymiotnik						
G5003	G5003 ταλαιπωρέω [talaipōreō]; czasownik						
G5004	G5004 ταλαιπωρία [talaipōria]; rzeczownik						
G5005	G5005 ταλαίπωρος [talaipōros]; przymiotnik						
G5006	G5006 ταλαντιαίος [talantiaios]; przymiotnik						
G5007	G5007 τάλαντον [talanton]; rzeczownik						
G5008	G5008 ταλιθά [talitha]; transliteracja słowa aram.						
G5009	G5009 ταμεῖον [tameion]; rzeczownik						
G5010	G5010 τάξις [taxis]; rzeczownik						
G5011	G5011 ταπεινός [tapeinos]; przymiotnik						
G5012	G5012 ταπεινοφροσύνη [tapeinofrosynē]; rzeczownik						
G5013	G5013 ταπεινόω [tapeinoō]; czasownik						
G5014	G5014 ταπείνωσις [tapeinōsis]; rzeczownik						
G5015	G5015 ταράσσω [tarassō]; czasownik						
G5016	G5016 ταραχή [tarachē]; rzeczownik						
G5017	G5017 τάραχος [tarachos]; rzeczownik						
G5018	G5018 Ταρσεύς [Tarseus]; rzeczownik						
G5019	G5019 Ταρσός [Tarsos]; rzeczownik						
G5020	G5020 ταρταρόω [tartaroō]; czasownik						
G5021	G5021 τάσσω [tassō]; czasownik						
G5022	G5022 ταῦρος [tauros]; rzeczownik						
G5023	G5023 ταῦτα [tauta]; zaimek						
G5024	G5024 ταυτά [tauta]; zaimek						
G5025	G5025 ταύταις [tautais]; rzeczownik						
G5026	G5026 ταύτη [tautē]; rzeczownik						
G5027	G5027 ταφή [tafē]; rzeczownik						
G5028	G5028 τάφος [tafos]; rzeczownik						
G5029	G5029 τάχα [tacha]; przysłówek						
G5030	G5030 ταχέως [tacheōs]; przysłówek						
G5031	G5031 ταχινός [tachinos]; przymiotnik						
G5032	G5032 τάχιον [tachion]; przysłówek						
G5033	G5033 τάχιστα [tachista]; przysłówek						
G5034	G5034 τάχος [tachos]; rzeczownik						
G5035	G5035 ταχύ [tachy]; przysłówek						
G5036	G5036 ταχύς [tachys]; przymiotnik						
G5037	G5037 τέ [te]; partykuła						
G5038	G5038 τείχος [teichos]; rzeczownik						
G5039	G5039 τεκμήριον [tekmērion]; rzeczownik						
G5040	G5040 τεκνίον [teknion]; rzeczownik						
G5041	G5041 τεκνογονέω [teknogoneō]; czasownik						
G5042	G5042 τεκνογονία [teknogonia]; rzeczownik						
G5043	G5043 τέκνον [teknon]; rzeczownik						
G5044	G5044 τεκνοτροφέω [teknotrofeō]; czasownik						
G5045	G5045 τέκτων [tektōn]; rzeczownik						
G5046	G5046 τέλειος [teleios]; przymiotnik						
G5047	G5047 τελειότης [teleiotēs]; rzeczownik						
G5048	G5048 τελειόω [teleioō]; czasownik						
G5049	G5049 τελείως [teleiōs]; przysłówek						
G5050	G5050 τελείωσις [teleiōsis]; rzeczownik						
G5051	G5051 τελειωτής [teleiōtēs]; rzeczownik						
G5052	G5052 τελεσφορέω [telesforeō]; czasownik						
G5053	G5053 τελευτάω [teleutaō]; czasownik						
G5054	G5054 τελευτή [teleutē]; rzeczownik						
G5055	G5055 τελέω [teleō]; czasownik						
G5056	G5056 τέλος [telos]; rzeczownik						
G5057	G5057 τελώνης [telōnēs]; rzeczownik						
G5058	G5058 τελώνιον [telōnion]; rzeczownik						
G5059	G5059 τέρας [teras]; rzeczownik						
G5060	G5060 Τέρτιος [Tertios]; rzeczownik						
G5061	G5061 Τέρτυλλος [Tertyllos]; rzeczownik						
G5062	G5062 τεσσαράκοντα [tessarakonta]; rzeczownik						
G5063	G5063 τεσσαρακονταετής [tesserakontaetēs]; przymiotnik						
G5064	G5064 τέσσαρες [tessares]; rzeczownik						
G5065	G5065 τεσσαρεσκαιδέκατος [tessareskaidekatos]; przymiotnik						
G5066	G5066 τεταρταῖος [tetartaios]; przymiotnik						
G5067	G5067 τέταρτος [tetartos]; przymiotnik						
G5068	G5068 τετράγωνος [tetragōnos]; przymiotnik						
G5069	G5069 τετράδιον [tetradion]; rzeczownik						
G5070	G5070 τετρακισχίλιοι [tetrakischilioi]; rzeczownik						
G5071	G5071 τετρακόσιοι [tetrakosioi]; rzeczownik						
G5072	G5072 τετράμηνον [tetramēnos]; przymiotnik						
G5073	G5073 τετραπλόος [tetraplus]; przymiotnik						
G5074	G5074 τετράπους [tetrapus]; przymiotnik						
G5075	G5075 τετραρχέω [tetraarcheō]; czasownik						
G5076	G5076 τετράρχης [tetraarchēs]; rzeczownik						
G5077	G5077 τεφρόω [tefroō]; czasownik						
G5078	G5078 τέχνη [technē]; rzeczownik						
G5079	G5079 τεχνίτης [technitēs]; rzeczownik						
G5080	G5080 τήκω [tēkō]; czasownik						
G5081	G5081 τηλαυγῶς [tēlaugōs]; przysłówek						
G5082	G5082 τηλικοῦτος [tēlikutos]; zaimek						
G5083	G5083 τηρέω [tēreō]; czasownik						
G5084	G5084 τήρησις [tērēsis]; rzeczownik						
G5085	G5085 Τιβεριάς [Tiberias]; rzeczownik						
G5086	G5086 Τιβέριος [Tiberios]; rzeczownik						
G5087	G5087 τίθημι [tithēmi]; czasownik						
G5088	G5088 τίκτω [tiktō]; czasownik						
G5089	G5089 τίλλω [tillō]; czasownik						
G5090	G5090 Τίμαιος [Timaios]; rzeczownik						
G5091	G5091 τιμάω [timaō]; czasownik						
G5092	G5092 τιμή [timē]; rzeczownik						
G5093	G5093 τίμιος [timios]; przymiotnik						
G5094	G5094 τιμιότης [timiotēs]; rzeczownik						
